run	conc	density
1	0.04882812	0.017
	0.04882812	0.018
	0.1953125	0.121
	0.1953125	0.124
	0.390625	0.206
	0.390625	0.215
	0.78125	0.377
	0.78125	0.374
	1.5625	0.614
	1.5625	0.609
	3.125	1.019
	3.125	1.001
	6.25	1.334
	6.25	1.364
	12.5	1.73
	12.5	1.71
2	0.04882812	0.045
	0.04882812	0.05
	0.1953125	0.137
	0.1953125	0.123
	0.390625	0.225
	0.390625	0.207
	0.78125	0.401
	0.78125	0.383
	1.5625	0.672
	1.5625	0.681
	3.125	1.116
	3.125	1.078
	6.25	1.554
	6.25	1.526
	12.5	1.932
	12.5	1.914
3	0.04882812	0.07
	0.04882812	0.068
	0.1953125	0.173
	0.1953125	0.165
	0.390625	0.277
	0.390625	0.248
	0.78125	0.434
	0.78125	0.426
	1.5625	0.703
	1.5625	0.689
	3.125	1.067
	3.125	1.077
	6.25	1.629
	6.25	1.479
	12.5	2.003
	12.5	1.884
4	0.04882812	0.011
	0.04882812	0.016
	0.1953125	0.118
	0.1953125	0.108
	0.390625	0.2
	0.390625	0.206
	0.78125	0.364
	0.78125	0.36
	1.5625	0.62
	1.5625	0.64
	3.125	0.979
	3.125	0.973
	6.25	1.424
	6.25	1.399
	12.5	1.74
	12.5	1.732
5	0.04882812	0.035
	0.04882812	0.035
	0.1953125	0.132
	0.1953125	0.135
	0.390625	0.224
	0.390625	0.22
	0.78125	0.385
	0.78125	0.39
	1.5625	0.658
	1.5625	0.647
	3.125	1.06
	3.125	1.031
	6.25	1.425
	6.25	1.409
	12.5	1.75
	12.5	1.738
6	0.04882812	0.086
	0.04882812	0.103
	0.1953125	0.191
	0.1953125	0.189
	0.390625	0.272
	0.390625	0.277
	0.78125	0.44
	0.78125	0.426
	1.5625	0.686
	1.5625	0.676
	3.125	1.062
	3.125	1.072
	6.25	1.424
	6.25	1.459
	12.5	1.768
	12.5	1.806
7	0.04882812	0.094
	0.04882812	0.092
	0.1953125	0.182
	0.1953125	0.182
	0.390625	0.282
	0.390625	0.273
	0.78125	0.444
	0.78125	0.439
	1.5625	0.686
	1.5625	0.668
	3.125	1.052
	3.125	1.035
	6.25	1.409
	6.25	1.392
	12.5	1.759
	12.5	1.739
8	0.04882812	0.054
	0.04882812	0.054
	0.1953125	0.152
	0.1953125	0.148
	0.390625	0.226
	0.390625	0.222
	0.78125	0.392
	0.78125	0.383
	1.5625	0.658
	1.5625	0.644
	3.125	1.043
	3.125	1.002
	6.25	1.466
	6.25	1.381
	12.5	1.743
	12.5	1.724
9	0.04882812	0.032
	0.04882812	0.043
	0.1953125	0.142
	0.1953125	0.155
	0.390625	0.239
	0.390625	0.242
	0.78125	0.42
	0.78125	0.395
	1.5625	0.624
	1.5625	0.705
	3.125	1.046
	3.125	1.026
	6.25	1.398
	6.25	1.405
	12.5	1.693
	12.5	1.729
10	0.04882812	0.052
	0.04882812	0.094
	0.1953125	0.164
	0.1953125	0.166
	0.390625	0.259
	0.390625	0.256
	0.78125	0.439
	0.78125	0.439
	1.5625	0.69
	1.5625	0.701
	3.125	1.042
	3.125	1.075
	6.25	1.34
	6.25	1.406
	12.5	1.699
	12.5	1.708
11	0.04882812	0.047
	0.04882812	0.057
	0.1953125	0.159
	0.1953125	0.155
	0.390625	0.246
	0.390625	0.252
	0.78125	0.427
	0.78125	0.411
	1.5625	0.704
	1.5625	0.684
	3.125	0.994
	3.125	0.98
	6.25	1.421
	6.25	1.385
	12.5	1.715
	12.5	1.721
